"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1",501627,"Cesar Cabral","15","6.67","0.000","0.000","0.000","0.000","0.000","0.308","0.334","0","1","105.2","-7.8","2283","89.5","88.17","0","1","0","-1.3","5.24","86","142","118","143","277","286","284"
"6",477195,"Ike Davis","26","23.08","0.167","0.167","0.167","0.333","0.208","0.445","0.453","1","6","100.8","11.1","1903","83.2","83.19","0","6","0","0.0","6.41","118","150","115","147","301","313","294"
"7",489267,"Adam Rosales","36","19.44","0.286","0.857","0.000","1.143","0.571","0.768","0.457","2","7","100.6","20.5","2035","79.3","78.09","0","7","0","-1.2","5.45","110","151","114","146","288","319","305"
"2",572889,"Nick Greenwood","8","25.00","1.000","1.500","1.000","2.500","1.450","1.078","0.771","2","2","99.7","20.9","1685","84.9","83.27","0","2","0","-1.6","5.38","97","147","116","144","323","335","314"
"3",430605,"Ryan Raburn","25","12.00","0.333","0.000","0.333","0.333","0.300","0.398","0.354","1","3","98.6","5.8","1794","82.9","81.40","0","3","0","-1.5","5.03","115","142","119","138","289","320","293"
"8",453895,"Brendan Ryan","28","28.57","0.250","0.000","0.250","0.250","0.225","0.430","0.423","2","8","97.8","15.7","1729","79.0","77.44","0","8","0","-1.6","5.39","116","150","121","147","291","322","288"
"9",592527,"Michael Mariot","44","20.45","0.222","0.333","0.125","0.556","0.322","0.510","0.422","2","9","97.7","16.5","2531","89.7","87.64","0","9","0","-2.1","5.57","114","150","126","146","290","310","286"
"6",424325,"David Ross","19","31.58","0.000","0.000","0.000","0.000","0.000","0.368","0.374","0","6","97.4","11.7","1644","71.7","68.93","0","6","0","-2.8","3.99","121","151","122","154","297","309","297"
"1",457456,"Jo-Jo Reyes","1","100.00","0.000","0.000","0.000","0.000","0.000","0.608","0.645","0","1","96.9","7.5","2224","89.7","89.32","0","1","0","-0.4","5.64","118","138","117","148","287","319","306"
"11",491696,"Jesus Sucre","26","42.31","0.545","0.364","0.500","0.909","0.623","0.473","0.391","6","11","96.8","15.3","1890","88.9","87.41","0","11","0","-1.5","5.36","119","147","116","148","280","323","301"
"4",461815,"David Murphy","19","21.05","0.500","0.750","0.333","1.250","0.725","0.846","0.528","2","4","96.7","31.8","2090","78.9","76.56","0","4","0","-2.3","4.08","115","149","115","148","283","322","295"
"6",545338,"Nick Franklin","17","35.29","0.500","0.667","0.400","1.167","0.692","0.394","0.312","3","6","96.4","32.3","2107","80.8","78.97","0","6","0","-1.8","5.16","111","141","122","152","303","333","300"
"21",489002,"Steve Johnson","113","18.58","0.381","0.429","0.316","0.810","0.498","0.426","0.344","8","21","96.0","19.0","2073","86.1","86.28","0","21","0","0.2","6.46","110","155","124","148","294","305","292"
"14",594835,"Marco Gonzales","66","21.21","0.538","0.308","0.462","0.846","0.554","0.575","0.489","7","13","95.5","9.8","2147","83.8","83.46","0","14","0","-0.3","5.95","102","144","112","146","315","325","301"
"5",430404,"Jonny Gomes","20","25.00","0.750","1.250","0.500","2.000","0.900","0.801","0.543","3","4","95.4","25.1","1590","67.7","65.43","0","5","0","-2.3","4.31","115","142","118","151","292","313","291"
"19",592426,"Luke Jackson","110","17.27","0.263","0.211","0.222","0.474","0.313","0.492","0.396","5","19","94.5","6.0","2167","92.2","92.01","0","19","0","-0.2","6.42","108","152","113","149","291","315","294"
"5",400085,"Ichiro Suzuki","18","27.78","0.400","0.400","0.400","0.800","0.500","0.761","0.535","2","5","94.2","21.0","1981","83.8","81.64","0","5","0","-2.2","5.54","108","137","102","141","284","313","287"
"5",595465,"Dan Winkler","33","15.15","0.400","1.200","0.000","1.600","0.800","0.686","0.416","2","5","94.1","15.9","2424","86.1","84.77","0","5","0","-1.3","5.65","113","149","109","149","300","312","311"
"22",605317,"Guido Knudson","119","18.49","0.591","0.864","0.471","1.455","0.845","0.611","0.441","13","22","93.8","14.8","2219","89.7","89.10","0","22","0","-0.6","6.12","108","154","116","146","283","299","273"
"3",599998,"Leonel Campos","22","13.64","0.333","0.333","0.333","0.667","0.417","0.374","0.362","1","3","93.7","13.3","1622","95.2","94.62","0","3","0","-0.6","6.11","115","144","110","146","274","290","289"
"25",514669,"Rafael Martin","247","10.12","0.500","0.583","0.381","1.083","0.636","0.594","0.458","12","24","93.5","17.5","2342","86.5","84.76","0","25","0","-1.7","5.37","110","150","114","147","290","308","295"
"39",519166,"Neil Ramirez","252","15.48","0.324","0.216","0.289","0.541","0.350","0.411","0.345","12","37","93.3","18.1","2307","91.2","91.64","0","39","0","0.4","6.70","114","148","113","147","284","299","283"
"12",518526,"David Carpenter","66","18.18","0.500","0.583","0.400","1.083","0.663","0.464","0.368","6","12","93.3","18.9","2624","84.9","84.64","0","12","0","-0.3","5.82","113","145","109","147","305","327","305"
"33",571584,"Caleb Cotham","179","18.44","0.438","0.438","0.357","0.875","0.536","0.500","0.401","14","32","93.2","4.8","2399","90.2","89.83","0","33","0","-0.4","6.03","106","151","115","145","289","317","291"
"30",502051,"Josh Ravin","189","15.87","0.433","0.300","0.370","0.733","0.500","0.467","0.402","13","30","93.2","11.4","2333","96.8","96.11","0","30","0","-0.7","5.88","122","153","113","152","294","311","293"
"15",543351,"Jay Jackson","73","20.55","0.467","0.133","0.467","0.600","0.467","0.476","0.405","7","15","93.2","10.8","2216","90.7","89.67","0","15","0","-1.0","5.81","113","147","114","147","301","294","288"
"13",518418,"Phillippe Aumont","104","12.50","0.385","0.615","0.273","1.000","0.569","0.462","0.397","5","13","93.1","1.1","2155","90.1","89.88","0","13","0","-0.2","6.53","109","151","106","147","281","306","293"
"17",612272,"Raudel Lazo","96","17.71","0.313","0.375","0.250","0.688","0.391","0.319","0.268","5","16","92.9","17.5","2079","83.6","80.93","0","17","0","-2.7","4.77","108","149","107","148","299","316","292"
"25",234194,"Buddy Carlyle","119","21.01","0.348","0.130","0.320","0.478","0.330","0.371","0.351","8","23","92.9","12.2","2162","89.5","88.54","0","25","0","-1.0","6.00","117","150","119","145","295","298","282"
"25",543258,"Preston Guilmet","124","20.16","0.391","0.304","0.304","0.696","0.426","0.433","0.367","9","23","92.8","10.6","1865","85.5","83.82","0","25","0","-1.7","5.24","105","144","114","147","293","321","298"
"20",502166,"Brad Mills","79","25.32","0.350","0.200","0.316","0.550","0.388","0.379","0.349","7","20","92.6","25.3","1829","82.1","81.65","0","20","0","-0.4","5.68","109","154","114","144","293","321","303"
"4",493351,"Alexei Ramirez","28","14.29","0.250","0.250","0.250","0.500","0.313","0.248","0.225","1","4","92.4","6.6","2163","89.6","89.14","0","4","0","-0.5","6.16","117","151","109","150","282","304","275"
"18",518397,"Scott Alexander","86","20.93","0.278","0.000","0.278","0.278","0.250","0.283","0.285","5","18","92.3","-7.3","2081","92.3","90.90","0","18","0","-1.4","5.34","108","151","115","146","297","312","292"
"5",607405,"John Cornely","22","22.73","0.600","0.600","0.500","1.200","0.760","0.425","0.330","3","5","92.3","26.3","1851","86.9","84.77","0","5","0","-2.1","5.02","111","140","113","142","293","308","297"
"87",544365,"Manny Banuelos","470","18.51","0.345","0.207","0.313","0.552","0.385","0.410","0.362","30","87","91.9","13.9","1809","85.3","84.86","0","87","0","-0.4","6.09","108","148","109","147","299","313","298"
"31",572308,"Jose Valdez","157","19.75","0.323","0.290","0.276","0.613","0.395","0.429","0.320","10","31","91.8","16.6","2269","93.9","93.24","0","31","0","-0.7","5.93","108","149","121","147","286","309","276"
"40",543508,"Cory Mazzoni","201","19.90","0.590","0.359","0.553","0.949","0.643","0.409","0.395","23","39","91.8","4.6","2180","91.3","90.64","0","40","0","-0.7","6.04","114","145","112","144","290","307","294"
"80",468504,"Jhoulys Chacin","426","18.78","0.304","0.228","0.267","0.532","0.351","0.453","0.376","24","79","91.8","9.0","2068","85.9","85.09","0","80","0","-0.8","5.70","109","150","113","148","299","316","287"
"12",598271,"Brian Johnson","87","13.79","0.273","0.000","0.250","0.273","0.225","0.410","0.362","3","11","91.7","9.5","2352","78.8","77.92","0","12","0","-0.9","6.01","105","146","109","144","282","298","274"
"4",425543,"Josh Wilson","16","25.00","0.500","0.750","0.333","1.250","0.725","0.466","0.357","2","4","91.5","16.4","2294","85.4","84.22","0","4","0","-1.2","5.81","114","147","120","143","284","293","277"
"1",456121,"Chris Denorfia","2","50.00","0.000","0.000","0.000","0.000","0.000","0.264","0.281","0","1","91.4","-3.7","1554","56.9","55.29","0","1","0","-1.6","4.76","120","152","113","149","300","307","264"
"10",595371,"Chris Rearick","58","17.24","0.667","1.000","0.571","1.667","0.865","0.496","0.397","6","9","91.4","-1.1","1821","87.1","86.80","0","10","0","-0.3","6.20","100","145","107","145","296","310","290"
"57",612434,"Miguel Castro","295","19.32","0.400","0.364","0.340","0.764","0.474","0.509","0.401","22","55","91.3","13.0","2323","94.6","94.75","0","57","0","0.1","6.21","106","144","111","145","291","316","296"
"13",543803,"Giovanni Soto","44","29.55","0.231","0.000","0.231","0.231","0.208","0.286","0.251","3","13","91.3","5.7","2055","88.3","87.98","0","13","0","-0.3","6.37","108","151","109","149","284","302","294"
"39",457435,"Phil Coke","238","16.39","0.395","0.289","0.351","0.684","0.447","0.387","0.342","15","38","91.2","0.6","2157","91.2","91.17","0","39","0","0.0","6.05","111","151","112","143","287","306","289"
