Player_Name,Sprint_Speed
 Byron Buxton,30.2
 Billy Hamilton,30.1
 Magneuris Sierra,29.9
 Bradley Zimmer,29.9
 Dee Gordon,29.7
 Amed Rosario,29.7
 Delino DeShields,29.6
 Raimel Tapia,29.5
 Franchy Cordero,29.5
 Keon Broxton,29.5
 Manuel Margot,29.3
 Rajai Davis,29.3
 Yoan Moncada,29.3
 Adam Engel,29.3
 Mallex Smith,29.3
 Trea Turner,29.2
 Lorenzo Cain,29.1
 Derek Fisher,29.1
 Zack Granite,29.1
 Lane Adams,29.1
 Nick Williams,29
 Wilmer Difo,29
 Ozzie Albies,28.9
 Kevin Kiermaier,28.9
 Whit Merrifield,28.9
 Pedro Florimon,28.9
 Adam Eaton,28.9
 Jose Pirela,28.9
 Arismendy Alcantara,28.9
 Ketel Marte,28.9
 Jarrod Dyson,28.8
 Jim Adduci,28.8
 J.P. Crawford,28.8
 Gregor Blanco,28.8
 Peter Bourjos,28.8
 Rey Fuentes,28.8
 Phillip Ervin,28.8
 Danny Santana,28.8
 Tommy Pham,28.7
 Cesar Hernandez,28.7
 Jeremy Hazelbaker,28.7
 Boog Powell,28.7
 Christian Yelich,28.7
 Brett Gardner,28.7
 Alen Hanson,28.6
 Richard Urena,28.6
 Chris Taylor,28.6
 Dansby Swanson,28.6
 Tyler Wade,28.6
 Gorkys Hernandez,28.6
 J.T. Realmuto,28.6
 Tim Anderson,28.6
 Eric Young Jr.,28.6
 JaCoby Jones,28.6
 Wil Myers,28.6
 Ian Happ,28.5
 Andrew McCutchen,28.5
 Clint Frazier,28.5
 Hunter Pence,28.5
 Craig Gentry,28.5
 Brandon Nimmo,28.5
 Mike Trout,28.5
 Leonys Martin,28.5
 Ben Gamel,28.4
 Aaron Altherr,28.4
 Trevor Story,28.4
 Matt Chapman,28.4
 Jake Marisnick,28.4
 Cody Bellinger,28.4
 Franklin Barreto,28.4
 Mikie Mahtook,28.4
 Andrew Toles,28.4
 Scott Schebler,28.4
 Jorge Polanco,28.4
 Paulo Orlando,28.4
 Leury Garcia,28.3
 Xander Bogaerts,28.3
 Daniel Robertson,28.3
 Chase d'Arnaud,28.3
 Javier Baez,28.3
 Steven Souza Jr.,28.3
 Didi Gregorius,28.3
 Abraham Almonte,28.3
 Jacoby Ellsbury,28.3
 Cory Spangenberg,28.3
 Andrew Benintendi,28.2
 Dexter Fowler,28.2
 Ben Revere,28.2
 Alcides Escobar,28.2
 Kris Bryant,28.2
 Austin Slater,28.2
 Marcell Ozuna,28.2
 Allen Cordoba,28.2
 Jacob May,28.2
 Max Kepler,28.2
 Brett Phillips,28.2
 Jose Peraza,28.2
 Francisco Lindor,28.2
 Jared Hoying,28.2
 Juan Lagares,28.2
 Marcus Semien,28.1
 Jace Peterson,28.1
 Michael A. Taylor,28.1
 Jose Ramirez,28.1
 Charlie Blackmon,28.1
 Tzu-Wei Lin,28.1
 Eduardo Escobar,28.1
 Carlos Gomez,28.1
 Mookie Betts,28.1
 Greg Allen,28.1
 Yandy Diaz,28.1
 Avisail Garcia,28.1
 Robbie Grossman,28.1
 Nick Ahmed,28.1
 Aaron Hicks,28.1
 Brian Dozier,28.1
 Corey Dickerson,28
 Alex Presley,28
 Erik Gonzalez,28
 Jose Iglesias,28
 JT Riddle,28
 Yasiel Puig,28
 Rougned Odor,28
 Starling Marte,28
 Jose Altuve,28
 Jorge Bonifacio,28
 Bryce Harper,28
 Aledmys Diaz,27.9
 Kevin Pillar,27.9
 Matt Reynolds,27.9
 Ezequiel Carrera,27.9
 Jose Reyes,27.9
 Josh Rutledge,27.9
 Andrew Romine,27.9
 Guillermo Heredia,27.9
 Hernan Perez,27.9
 A.J. Pollock,27.9
 Rafael Devers,27.9
 Ronald Torreyes,27.9
 Denard Span,27.9
 Randal Grichuk,27.8
 Yolmer Sanchez,27.8
 Josh Harrison,27.8
 Nicholas Castellanos,27.8
 Eduardo Nunez,27.8
 Yoenis Cespedes,27.8
 George Springer,27.8
 Cameron Maybin,27.8
 Alejandro De Aza,27.8
 Paul DeJong,27.8
 David Peralta,27.8
 Carlos Correa,27.8
 Andrelton Simmons,27.8
 Jorge Soler,27.8
 Chris Owings,27.8
 Tyler Saladino,27.8
 Dusty Coleman,27.8
 Kolten Wong,27.7
 Aaron Judge,27.7
 Shane Robinson,27.7
 Matt Szczur,27.7
 Eddie Rosario,27.7
 Albert Almora Jr.,27.7
 Addison Russell,27.7
 Ramon Torres,27.7
 Gregory Polanco,27.7
 Ty Kelly,27.7
 Josh Reddick,27.6
 Adeiny Hechavarria,27.7
 Jason Heyward,27.6
 Brad Miller,27.6
 Eric Fryer,27.6
 Harrison Bader,27.6
 Justin Upton,27.6
 Greg Garcia,27.6
