,player_name_x,PA,HR,R,RBI,SB,BB_percentage,K_percentage,OBP,wRC+,BsR,WAR,pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,whiffs,swings,takes
0,A.J. Ellis,163,6,17,14,0,0.07400000000000001,0.17800000000000002,0.298,80,-1.8,0.2,641,0.21,0.161,0.222,0.371,0.294,0.273,0.19699999999999998,30,143,80.8,16.5,52,270,365
1,A.J. Pollock,466,14,73,49,20,0.075,0.152,0.33,103,2.6,2.1,1743,0.266,0.205,0.29100000000000004,0.47100000000000003,0.34700000000000003,0.331,0.265,113,425,82.9,10.7,139,737,995
2,Aaron Altherr,412,19,58,65,5,0.078,0.252,0.34,120,-2.0,1.3,1598,0.272,0.245,0.32799999999999996,0.516,0.36700000000000005,0.33,0.244,101,372,83.3,14.3,212,708,878
3,Aaron Hicks,361,15,54,52,10,0.141,0.18600000000000003,0.37200000000000005,127,2.5,3.3,1483,0.266,0.209,0.29,0.475,0.36700000000000005,0.335,0.233,80,301,83.0,16.5,154,579,896
4,Aaron Judge,678,52,128,114,9,0.187,0.307,0.42200000000000004,173,0.0,8.2,3028,0.284,0.34299999999999997,0.35700000000000004,0.627,0.441,0.446,0.278,154,542,85.1,17.5,429,1228,1756
5,Abraham Almonte,195,3,26,14,2,0.10300000000000001,0.23600000000000002,0.314,81,1.5,-0.1,769,0.233,0.134,0.298,0.366,0.302,0.301,0.231,40,172,83.1,8.3,97,363,403
6,Adam Duvall,647,31,78,99,5,0.06,0.263,0.301,98,-0.1,1.8,2488,0.249,0.23199999999999998,0.29,0.48,0.332,0.295,0.217,146,587,81.5,22.8,312,1196,1278
7,Adam Eaton,107,2,24,13,3,0.131,0.168,0.39299999999999996,126,1.8,0.5,443,0.297,0.165,0.34700000000000003,0.462,0.375,0.319,0.228,27,91,81.9,14.3,39,188,252
8,Adam Engel,336,6,34,21,8,0.057,0.348,0.235,37,4.3,-0.7,1320,0.166,0.11599999999999999,0.247,0.282,0.228,0.223,0.16399999999999998,50,301,76.4,17.8,218,628,672
9,Adam Frazier,454,6,55,53,9,0.079,0.126,0.344,97,2.7,1.1,1764,0.276,0.12300000000000001,0.306,0.39899999999999997,0.32899999999999996,0.325,0.275,112,406,80.6,14.6,108,803,940
10,Adam Jones,635,26,82,73,2,0.043,0.17800000000000002,0.322,107,1.3,1.7,2287,0.285,0.18100000000000002,0.312,0.466,0.34,0.313,0.258,170,597,81.7,17.8,325,1329,944
11,Adam Lind,301,14,39,59,1,0.09300000000000001,0.156,0.36200000000000004,122,-1.3,0.9,1191,0.303,0.21,0.316,0.513,0.375,0.379,0.29100000000000004,81,267,85.4,14.9,95,529,644
12,Adam Rosales,312,7,25,36,1,0.035,0.321,0.26,57,0.6,-0.5,1222,0.225,0.128,0.312,0.353,0.264,0.226,0.18899999999999997,65,289,80.3,16.5,208,582,629
13,Addison Russell,385,12,52,43,2,0.075,0.23600000000000002,0.304,84,1.0,1.4,1503,0.239,0.179,0.289,0.418,0.315,0.306,0.24,84,352,82.7,20.7,204,740,737
14,Adeiny Hechavarria,348,8,37,30,4,0.037000000000000005,0.193,0.289,83,0.6,1.3,1171,0.261,0.145,0.304,0.406,0.3,0.293,0.26,86,330,80.8,14.7,166,674,491
15,Adonis Garcia,183,5,19,19,4,0.038,0.126,0.273,61,-0.1,-0.4,707,0.237,0.11,0.247,0.34700000000000003,0.27399999999999997,0.297,0.257,41,173,81.3,12.7,74,372,332
16,Adrian Beltre,389,17,47,71,1,0.1,0.134,0.38299999999999995,138,-3.9,3.1,1586,0.312,0.221,0.321,0.532,0.392,0.355,0.276,106,340,81.7,17.7,138,738,836
17,Adrian Gonzalez,252,3,14,30,0,0.063,0.171,0.287,69,-3.6,-1.1,897,0.242,0.113,0.28,0.355,0.281,0.303,0.252,56,231,83.0,14.2,110,451,444
18,Albert Almora Jr.,323,8,39,46,1,0.059000000000000004,0.16399999999999998,0.33799999999999997,103,-1.7,1.2,1117,0.298,0.147,0.33799999999999997,0.445,0.33799999999999997,0.299,0.255,89,299,82.1,12.1,141,573,533
19,Albert Pujols,636,23,53,101,3,0.057999999999999996,0.146,0.28600000000000003,78,-6.3,-2.0,2497,0.24100000000000002,0.145,0.249,0.386,0.294,0.326,0.268,143,593,84.5,16.5,241,1172,1311
20,Alcides Escobar,629,6,71,54,4,0.024,0.162,0.272,62,3.5,0.5,2237,0.25,0.107,0.29100000000000004,0.35700000000000004,0.272,0.265,0.243,150,599,79.2,17.6,247,1186,1025
21,Aledmys Diaz,301,7,31,20,4,0.043,0.14,0.29,78,-1.2,0.2,1074,0.259,0.133,0.282,0.392,0.297,0.263,0.231,74,286,81.4,16.8,124,560,504
22,Alen Hanson,234,4,36,11,11,0.051,0.222,0.262,59,1.4,-0.8,855,0.221,0.124,0.268,0.34600000000000003,0.265,0.23,0.19399999999999998,48,217,78.5,11.9,110,430,417
23,Alex Avila,376,14,41,49,0,0.165,0.319,0.387,124,-2.6,2.5,1618,0.264,0.183,0.382,0.447,0.368,0.401,0.272,82,311,86.4,16.0,216,593,1016
24,Alex Bregman,626,19,88,71,17,0.08800000000000001,0.155,0.35200000000000004,122,0.3,3.8,2309,0.284,0.191,0.311,0.475,0.35700000000000004,0.33799999999999997,0.271,158,556,83.0,21.1,170,1030,1264
25,Alex Gordon,541,9,52,45,7,0.083,0.233,0.293,62,0.9,0.0,2212,0.20800000000000002,0.107,0.261,0.315,0.275,0.3,0.22399999999999998,99,476,81.0,17.3,241,1042,1142
26,Alex Presley,264,3,30,20,5,0.057,0.18600000000000003,0.354,106,-1.3,0.5,1063,0.314,0.102,0.38299999999999995,0.41600000000000004,0.336,0.303,0.281,77,245,78.4,14.4,92,502,560
