,Player_Name,PA,BB/PA,Launch_Speed,BABIP,wOBA,xwOBA,HR/PA,R/PA,RBI/PA,BA,OBP
1,A.J. Pollock,466,0.075,82.9,0.29100000000000004,0.34,0.331,0.030042918454935622,0.15665236051502146,0.10515021459227468,0.266,0.33
2,Aaron Altherr,412,0.078,83.3,0.328,0.359,0.33,0.04611650485436893,0.1407766990291262,0.15776699029126215,0.272,0.34
3,Aaron Hicks,361,0.141,83.0,0.29,0.363,0.335,0.04155124653739612,0.14958448753462603,0.1440443213296399,0.266,0.3720000000000001
7,Adam Eaton,107,0.131,81.9,0.34700000000000003,0.369,0.319,0.018691588785046728,0.22429906542056074,0.12149532710280374,0.297,0.393
11,Adam Lind,301,0.093,85.4,0.316,0.363,0.379,0.046511627906976744,0.12956810631229235,0.19601328903654486,0.303,0.362
18,Albert Almora Jr.,323,0.059,82.1,0.338,0.334,0.299,0.02476780185758514,0.12074303405572756,0.14241486068111456,0.298,0.338
23,Alex Avila,376,0.165,86.4,0.382,0.362,0.401,0.03723404255319149,0.10904255319148937,0.13031914893617022,0.264,0.387
33,Andrew Knapp,204,0.152,82.7,0.36,0.321,0.315,0.014705882352941176,0.12745098039215685,0.06372549019607843,0.257,0.368
41,Austin Barnes,262,0.149,83.4,0.329,0.386,0.37,0.030534351145038167,0.13358778625954199,0.1450381679389313,0.289,0.408
43,Austin Jackson,318,0.104,82.1,0.385,0.371,0.335,0.0220125786163522,0.14465408805031446,0.11006289308176101,0.318,0.387
45,Austin Slater,127,0.063,84.5,0.353,0.32299999999999995,0.27,0.023622047244094488,0.11811023622047244,0.12598425196850394,0.282,0.339
70,Bryce Harper,492,0.138,83.3,0.35600000000000004,0.416,0.39,0.05894308943089431,0.19308943089430894,0.17682926829268292,0.319,0.413
80,Carlos Correa,481,0.11,85.8,0.35200000000000004,0.394,0.393,0.0498960498960499,0.1704781704781705,0.17463617463617465,0.315,0.391
117,Daniel Nava,214,0.121,82.8,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.018691588785046728,0.09813084112149532,0.09813084112149532,0.301,0.393
136,Dexter Fowler,491,0.128,81.9,0.305,0.358,0.355,0.03665987780040733,0.1384928716904277,0.13034623217922606,0.264,0.363
185,Howie Kendrick,334,0.066,82.7,0.378,0.361,0.334,0.02694610778443114,0.11976047904191617,0.12275449101796407,0.315,0.368
189,Ian Desmond,373,0.064,83.1,0.345,0.305,0.256,0.01876675603217158,0.1260053619302949,0.10723860589812333,0.274,0.326
193,J.D. Martinez,489,0.108,83.8,0.327,0.43,0.423,0.09202453987730061,0.1738241308793456,0.21267893660531698,0.303,0.376
216,Jedd Gyorko,481,0.098,82.1,0.312,0.344,0.32299999999999995,0.04158004158004158,0.10810810810810811,0.1392931392931393,0.272,0.341
219,Jeimer Candelario,142,0.092,83.8,0.35100000000000003,0.342,0.316,0.02112676056338028,0.1267605633802817,0.11267605633802817,0.28300000000000003,0.359
