"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3014",545361,"Mike Trout","3014","100.00","0.315","0.235","0.371","0.550","0.428","0.427","0.298","173","549","84.7","18.3","2211","89.0","88.09","239","1154","1813","-0.9","5.98","105","151","114","144","309","324","299"
"3013",502671,"Paul Goldschmidt","3013","100.00","0.297","0.192","0.358","0.489","0.393","0.376","0.271","172","579","86.1","16.5","2220","88.8","88.65","265","1158","1799","-0.2","6.03","107","150","116","145","305","324","300"
"2952",518626,"Josh Donaldson","2952","100.00","0.284","0.265","0.300","0.549","0.408","0.410","0.282","164","577","86.7","17.6","2232","88.8","88.22","297","1230","1690","-0.6","6.04","106","151","116","145","304","325","297"
"2950",435063,"Mike Napoli","2950","100.00","0.239","0.226","0.296","0.465","0.347","0.341","0.220","133","557","84.5","21.6","2189","89.0","88.88","394","1293","1642","-0.1","6.09","106","150","116","144","297","318","293"
"2932",543807,"George Springer","2932","100.00","0.261","0.196","0.317","0.457","0.358","0.353","0.251","168","644","83.2","14.3","2204","88.6","88.02","387","1386","1523","-0.6","6.06","106","151","111","145","298","323","293"
"2900",429665,"Edwin Encarnacion","2900","100.00","0.263","0.266","0.270","0.529","0.377","0.384","0.266","158","601","86.1","18.3","2234","88.8","88.29","291","1231","1654","-0.5","6.06","105","151","117","144","303","326","299"
"2896",458015,"Joey Votto","2896","100.00","0.326","0.225","0.366","0.550","0.424","0.413","0.305","181","556","84.4","16.1","2163","89.4","88.86","223","1197","1631","-0.5","6.06","114","151","120","148","290","315","298"
"2884",571976,"Wil Myers","2884","100.00","0.259","0.202","0.305","0.461","0.346","0.332","0.246","155","599","83.2","12.9","2214","88.9","88.54","256","1173","1700","-0.4","6.10","108","151","115","145","301","321","297"
"2849",593428,"Xander Bogaerts","2849","100.00","0.294","0.152","0.335","0.446","0.352","0.313","0.249","192","652","84.0","15.8","2222","88.4","87.66","258","1292","1550","-0.7","6.01","106","149","112","145","292","315","291"
"2831",542340,"Jonathan Villar","2831","100.00","0.285","0.171","0.373","0.457","0.360","0.313","0.236","168","589","84.7","10.0","2145","88.8","88.52","331","1212","1576","-0.3","6.12","108","147","98","147","288","310","293"
"2788",572821,"Brian Dozier","2788","100.00","0.268","0.278","0.280","0.546","0.374","0.326","0.230","165","615","84.0","21.7","2215","88.7","88.10","283","1211","1540","-0.6","6.00","106","151","109","144","298","317","290"
"2785",150029,"Jayson Werth","2785","100.00","0.244","0.173","0.288","0.417","0.331","0.340","0.249","128","525","86.1","20.9","2214","89.4","88.87","222","1062","1716","-0.5","6.05","108","150","115","146","299","315","295"
"2781",467793,"Carlos Santana","2781","100.00","0.259","0.239","0.258","0.498","0.373","0.387","0.276","151","582","87.6","17.7","2177","88.5","88.29","209","1087","1689","-0.2","6.07","113","158","120","147","296","319","296"
"2779",518692,"Freddie Freeman","2779","100.00","0.302","0.267","0.370","0.569","0.413","0.408","0.283","178","589","85.8","18.2","2174","88.6","87.99","422","1426","1277","-0.6","5.98","113","158","129","147","298","321","305"
"2766",453943,"Todd Frazier","2766","100.00","0.225","0.239","0.236","0.464","0.328","0.315","0.221","133","590","83.1","25.2","2234","88.9","88.09","366","1292","1465","-0.8","6.04","107","151","115","145","299","321","293"
"2759",543401,"Jason Kipnis","2759","100.00","0.275","0.193","0.324","0.468","0.348","0.343","0.267","168","611","84.6","18.6","2214","88.6","88.34","234","1185","1559","-0.3","6.04","112","147","105","147","285","313","296"
"2755",448801,"Chris Davis","2755","100.00","0.221","0.239","0.279","0.459","0.344","0.353","0.219","125","566","85.7","19.3","2191","87.9","87.57","435","1173","1562","-0.3","5.97","115","167","136","148","302","325","300"
"2746",474892,"Chris Carter","2746","100.00","0.222","0.277","0.260","0.499","0.349","0.365","0.236","122","549","85.9","19.5","2181","88.6","88.33","462","1200","1533","-0.3","6.11","107","150","116","145","302","320","299"
"2743",571448,"Nolan Arenado","2743","100.00","0.294","0.275","0.293","0.570","0.394","0.351","0.263","182","618","85.7","21.1","2227","88.4","88.15","249","1319","1381","-0.3","6.00","107","150","115","144","307","329","305"
