pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
3028,592450,Aaron Judge,3028,100,0.284,0.343,0.357,0.627,0.441,0.446,0.278,154,542,85.1,17.5,2266,88.8,88.22,429,1228,1756,-0.6,6.01,108,152,119,146,306,331,298
2808,458015,Joey Votto,2808,100,0.32,0.258,0.321,0.578,0.442,0.424,0.298,179,559,81.8,17.7,2177,89.1,88.76,176,1144,1577,-0.3,6.13,114,151,121,150,294,318,299
1939,502110,J.D. Martinez,1939,100,0.303,0.387,0.327,0.69,0.441,0.423,0.288,131,432,83.8,16,2267,88.4,87.95,307,983,928,-0.5,5.96,108,151,116,146,305,327,301
2171,545361,Mike Trout,2171,100,0.306,0.323,0.318,0.629,0.451,0.423,0.28,123,402,82.2,20.8,2255,89.4,88.8,146,801,1319,-0.6,6,107,151,117,146,309,327,301
1248,500874,Jose Martinez,1248,100,0.309,0.21,0.35,0.518,0.386,0.411,0.322,84,272,84.5,13,2214,89,88.47,107,515,726,-0.5,5.99,108,151,115,147,305,319,295
1982,518692,Freddie Freeman,1982,100,0.307,0.28,0.335,0.586,0.421,0.403,0.283,135,440,84.3,19.6,2171,88.3,87.73,254,1020,902,-0.6,5.98,115,163,131,150,301,324,303
2502,443558,Nelson Cruz,2502,100,0.288,0.261,0.315,0.549,0.394,0.402,0.282,160,556,85,15.3,2244,88.3,87.82,356,1167,1295,-0.5,6.02,107,151,119,146,303,325,297
1618,488671,Alex Avila,1618,100,0.264,0.183,0.382,0.447,0.368,0.401,0.272,82,311,86.4,16,2180,88.8,88.49,216,593,1016,-0.3,6.08,115,164,125,152,290,319,303
989,656555,Rhys Hoskins,989,100,0.259,0.359,0.241,0.618,0.424,0.399,0.255,44,170,83.6,21.6,2193,88.6,88.24,78,378,604,-0.4,6.17,108,152,116,147,295,320,294
2785,519317,Giancarlo Stanton,2785,100,0.281,0.35,0.288,0.631,0.422,0.398,0.266,168,597,85.6,16.8,2221,89.2,88.59,373,1174,1553,-0.6,6.04,107,151,120,145,309,327,303
2816,502671,Paul Goldschmidt,2816,100,0.297,0.265,0.343,0.563,0.413,0.397,0.278,166,558,85.3,15.8,2251,89,88.42,300,1130,1624,-0.6,5.9,108,150,115,146,307,326,302
2047,457759,Justin Turner,2047,100,0.322,0.208,0.326,0.53,0.407,0.397,0.296,147,457,83.7,21.5,2232,89.6,88.97,140,889,1122,-0.6,5.93,107,150,115,146,303,318,296
2760,519203,Anthony Rizzo,2760,100,0.273,0.234,0.273,0.507,0.39,0.397,0.283,156,572,83.4,21,2195,89.3,88.96,231,1261,1433,-0.3,6.08,115,159,123,150,297,320,301
1915,621043,Carlos Correa,1915,100,0.316,0.235,0.352,0.551,0.404,0.393,0.302,133,421,85.8,12.5,2250,88.3,87.78,174,800,1093,-0.5,6.03,107,149,115,146,298,324,291
2884,429665,Edwin Encarnacion,2884,100,0.258,0.245,0.271,0.504,0.38,0.391,0.267,143,554,83.7,17.8,2222,88.3,87.85,313,1233,1632,-0.4,6.01,108,151,118,144,298,324,300
1997,547180,Bryce Harper,1997,100,0.319,0.276,0.356,0.595,0.429,0.39,0.283,134,420,83.3,16.8,2171,89.1,88.81,259,964,999,-0.3,6.12,115,150,121,150,300,322,304
2598,475253,Justin Smoak,2598,100,0.27,0.259,0.285,0.529,0.378,0.388,0.278,151,560,83.8,17.7,2227,87.7,87.18,262,1114,1475,-0.5,6,113,163,132,149,296,327,303
2103,518626,Josh Donaldson,2103,100,0.27,0.289,0.289,0.559,0.403,0.384,0.254,112,415,83.3,16.6,2241,88.6,88.16,243,885,1211,-0.4,6.05,108,152,117,146,302,328,299
2592,501981,Khris Davis,2592,100,0.247,0.281,0.29,0.528,0.367,0.383,0.257,140,566,85,20.4,2234,88.3,87.81,412,1222,1361,-0.5,5.99,107,151,116,146,304,326,296
